Id,CardId,ItemId,Name,
312201,167,331023,Sogni sommersi del tempo che fu: Tricorno macchiato di vino,
312202,168,331024,Relitto di una barca: Cuore profondo,
312301,169,331025,Lamento cinereo: Cappello infuocato della strega,
312302,170,331026,Dissoluzione fiammante: Strega cremisi delle fiamme,
312401,171,331027,Tuoni e pioggia: Corona dell'invocatore di fulmini,
312402,172,331028,Pennacchio dei cieli tempestosi: Furia tonante,
312501,173,331029,Vento verdeggiante: Diadema della Cacciatrice smeraldo,
312502,174,331030,Sogno di foglie infrante: Cacciatrice smeraldo,
312601,175,331031,Pietra aguzza: maschera di basalto inerte,
312602,176,331032,Montagne possenti: Roccia arcaica,
312701,177,331033,Emblema del Chiamapioggia: Corona d'alloro,
312702,178,331034,Conoscenza dei rampicanti: Memorie di Boscoprofondo,
321001,179,332000,Dove tutte le navi attraccano,
321002,180,332001,Athenaeum del Nord,
321003,181,332002,Ammirare le stelle fra le nuvole,
321004,182,332003,Tenuta dell'alba,
321005,183,332004,Punto di osservazione di Dihua,
321006,184,332005,Adunata dei devoti,
321007,185,332021,L'onnipresenza sui mortali,
321008,186,332020,Desolazione distante dei rossi sogni,
321009,187,332022,Palazzo perlaceo,
321010,188,332023,La città dove risiede tutto il sapere,
321011,189,332024,Rispetto del Sentiero delle Foreste,
321012,190,332025,Dimora dei demoni persistenti,
321013,191,332034,Palazzo dorato,
321014,192,332036,Borgo Gandharva,
321015,193,332038,Covo di Terrore alato,
322001,194,332006,Paimon, la guida migliore,
322002,195,332007,Katheryne, Receptionist della Gilda,
322003,196,332008,Timaeus, Alchimista,
322004,197,332009,Wagner, fabbro,
322005,198,332010,Chef Mao, gourmet ingegnoso,
322006,199,332011,Tonda "Placatempeste",
322007,200,332012,Timmie "pura pazienza",
322008,201,332013,Liben "Bazaar delle meraviglie",
322009,202,332014,Chang il Nono, letterato svogliato,
322010,203,332015,Ellin "sogno cavalleresco",
322011,204,332016,Tian Lingua di ferro "da dove abbiamo interrotto",
322012,205,332017,Liu Su "nel prossimo volume",
322013,206,332026,Persistenza del dolore: Hanachirusato,
322014,207,332027,Intenzioni nascoste di Temari: Piccolo Kujirai,
322015,208,332028,Sazietà prima di tutto: Xudong,
322016,209,332029,Purezza della fiducia: Dunyarzad,
322017,210,332030,Pietra della rimembranza: Rana,
322018,211,332033,Forgia dell'arsenale: Maestro Zhang,
322019,212,332035,Scavalcare il muro: Setaria,
322020,213,332037,Arte della laccatura: Yayoi Nanatsuki,
323001,214,332018,Rotazione perpetua: modifica parametrica,
323002,215,332019,Risorse di emergenza: piatto portatile,
323003,216,332031,Venticello ineffabile: Ventaglio di piume rosse,
323004,217,332032,Potenziale della rivelazione: Seelie cercatesori,
330001,218,333050,Antico giardino,
330002,219,333051,Patto della roccia,
330003,220,333053,Celebrazione gioiosa,
330004,221,333055,La dolce brezza della libertà,
330005,222,333057,Un fornello in ogni casa,
331101,223,333000,Risonanza elementale: Ghiaccio intrecciato,
331102,224,333001,Risonanza elementale: Ghiaccio dirompente,
331201,225,333002,Risonanza elementale: Acque intrecciate,
331202,226,333003,Risonanza elementale: Placide acque,
331301,227,333004,Risonanza elementale: Fiamme intrecciate,
331302,228,333005,Risonanza elementale: Fiamme impetuose,
331401,229,333006,Risonanza elementale: Tuono intrecciato,
331402,230,333007,Risonanza elementale: Alta tensione,
331501,231,333008,Risonanza elementale: Venti intrecciati,
331502,232,333009,Risonanza elementale: Venti impetuosi,
331601,233,333010,Risonanza elementale: Pietra intrecciata,
331602,234,333011,Risonanza elementale: Roccia infrangibile,
331701,235,333012,Risonanza elementale: Grovigli intrecciati,
331702,236,333013,Risonanza elementale: Vegetazione proliferante,
331801,237,333037,Poesia degli eventi slegati,
331802,238,333038,Accordo di eoni incrollabili,
331803,239,333039,Sogno dell'eternità evanescente,
331804,240,333040,Saggezza degli Spiriti Gioiosi,
332001,241,333014,La miglior compagna di viaggio!,
332002,242,333015,Cambio di turno,
332003,243,333016,Testa o croce,
332004,244,333017,Pianifica,
332005,245,333018,Non ho ancora perso!,
332006,246,333019,Lascia fare a me!,
332007,247,333020,Quando ritornò la gru,
332008,248,333021,Percorso del destino,
332009,249,333022,Esperimento alchemico,
332010,250,333023,Maestro degli armamenti,
332011,251,333024,Installazione della reliquia divina,
332012,252,333025,Baron Coniglio rattoppato,
332013,253,333026,Espulsione,
332014,254,333027,Il male è stato bandito,
332015,255,333028,Chiamata abissale,
332016,256,333041,Un complotto sotto lo splendore invernale,
332017,257,333042,Attacco in caduta,
332018,258,333043,Il metodo spaccapietra,
332019,259,333044,Sogni di libertà non corrisposta,
332020,260,333045,Amici del cuore,
332021,261,333052,Melodia del Gran Sogno,
332022,262,333054,Dov'è la Lama nascosta?,
332023,263,333056,Pankration!,
332024,264,333058,Lira poetica,
333001,265,333029,Guoba di Jueyun,
333002,266,333030,Tentazione dell'Adeptus,
333003,267,333031,Frittelle di loto,
333004,268,333032,Pollo affumicato del Nord,
333005,269,333033,Pollo ai Fiordolci,
333006,270,333034,Frittelle di patate di Mondstadt,
333007,271,333035,Pizza ai funghi,
333008,272,333036,Involtini di carne alla menta,
333009,273,333046,Uovo fritto di Teyvat,
333010,274,333047,Piatto di sashimi,
333011,275,333048,Pollo tandoori,
333012,276,333049,Granchio al burro,
